id,sheet_id,topic,title,url,difficulty,problem_order
1760,7,"Graphs","Max Area of Island","",Medium,1680
1761,7,"Graphs","Pacific Atlantic Water Flow","",Medium,1681
1762,7,"Graphs","Surrounded Regions","",Medium,1682
1763,7,"Graphs","Rotting Oranges","",Medium,1683
1764,7,"Graphs","Walls and Gates","",Medium,1684
1765,7,"Graphs","Course Schedule","",Medium,1685
1766,7,"Graphs","Course Schedule II","",Medium,1686
1767,7,"Graphs","Redundant Connection","",Medium,1687
1768,7,"Graphs","Number of Connected Components in an Undirected Graph","",Medium,1688
1769,7,"Graphs","Graph Valid Tree","",Medium,1689
1770,7,"Graphs","Word Ladder","",Hard,1690
1771,7,"Advanced Graphs","Reconstruct Itinerary","",Hard,1691
1772,7,"Advanced Graphs","Min Cost to Connect All Points","",Medium,1692
1773,7,"Advanced Graphs","Network Delay Time","",Medium,1693
1774,7,"Advanced Graphs","Swim in Rising Water","",Hard,1694
1775,7,"Advanced Graphs","Alien Dictionary","",Hard,1695
1776,7,"Advanced Graphs","Cheapest Flights Within K Stops","",Medium,1696
1777,7,"1-D DP","Climbing Stairs","",Easy,1697
1778,7,"1-D DP","Min Cost Climbing Stairs","",Easy,1698
1779,7,"1-D DP","House Robber","",Medium,1699
1780,7,"1-D DP","House Robber II","",Medium,1700
1781,7,"1-D DP","Longest Palindromic Substring","",Medium,1701
1782,7,"1-D DP","Palindromic Substrings","",Medium,1702
1783,7,"1-D DP","Decode Ways","",Medium,1703
1784,7,"1-D DP","Coin Change","",Medium,1704
1785,7,"1-D DP","Maximum Product Subarray","",Medium,1705
1786,7,"1-D DP","Word Break","",Medium,1706
1787,7,"1-D DP","Longest Increasing Subsequence","",Medium,1707
1788,7,"1-D DP","Partition Equal Subset Sum","",Medium,1708
1789,7,"2-D DP","Unique Paths","",Medium,1709
1790,7,"2-D DP","Longest Common Subsequence","",Medium,1710
1791,7,"2-D DP","Best Time to Buy and Sell Stock with Cooldown","",Medium,1711
1792,7,"2-D DP","Coin Change II","",Medium,1712
1793,7,"2-D DP","Target Sum","",Medium,1713
1794,7,"2-D DP","Interleaving String","",Medium,1714
1795,7,"2-D DP","Longest Increasing Path in a Matrix","",Hard,1715
1796,7,"2-D DP","Distinct Subsequences","",Hard,1716
1797,7,"2-D DP","Edit Distance","",Hard,1717
1798,7,"2-D DP","Burst Balloons","",Hard,1718
1799,7,"2-D DP","Regular Expression Matching","",Hard,1719
1800,7,"Greedy","Maximum Subarray","",Medium,1720
1801,7,"Greedy","Jump Game","",Medium,1721
1802,7,"Greedy","Jump Game II","",Medium,1722
1803,7,"Greedy","Gas Station","",Medium,1723
1804,7,"Greedy","Hand of Straights","",Medium,1724
1805,7,"Greedy","Merge Triplets to Form Target Triplet","",Medium,1725
1806,7,"Greedy","Partition Labels","",Medium,1726
1807,7,"Greedy","Valid Parenthesis String","",Medium,1727
1808,7,"Intervals","Insert Interval","",Medium,1728
1809,7,"Intervals","Merge Intervals","",Medium,1729
1810,7,"Intervals","Non-overlapping Intervals","",Medium,1730
1811,7,"Intervals","Meeting Rooms","",Easy,1731
1812,7,"Intervals","Meeting Rooms II","",Medium,1732
1813,7,"Intervals","Minimum Interval to Include Each Query","",Hard,1733
1814,7,"Math & Geometry","Rotate Image","",Medium,1734
1815,7,"Math & Geometry","Spiral Matrix","",Medium,1735
1816,7,"Math & Geometry","Set Matrix Zeroes","",Medium,1736
1817,7,"Math & Geometry","Happy Number","",Easy,1737
1818,7,"Math & Geometry","Plus One","",Easy,1738
1819,7,"Math & Geometry","Pow(x, n)","",Medium,1739
1820,7,"Math & Geometry","Multiply Strings","",Medium,1740
1821,7,"Math & Geometry","Detect Squares","",Medium,1741
1822,7,"Bit Manipulation","Single Number","",Easy,1742
1823,7,"Bit Manipulation","Number of 1 Bits","",Easy,1743
1824,7,"Bit Manipulation","Counting Bits","",Easy,1744
1825,7,"Bit Manipulation","Reverse Bits","",Easy,1745
1826,7,"Bit Manipulation","Missing Number","",Easy,1746
1827,7,"Bit Manipulation","Sum of Two Integers","",Medium,1747
1828,7,"Bit Manipulation","Reverse Integer","",Medium,1748
