topic,title,url,difficulty
Linked List,Reorder List,https://leetcode.com/problems/reorder-list/,Medium
Matrix,Set Matrix Zeroes,https://leetcode.com/problems/set-matrix-zeroes/,Medium
Matrix,Spiral Matrix,https://leetcode.com/problems/spiral-matrix/,Medium
Matrix,Rotate Image,https://leetcode.com/problems/rotate-image/,Medium
Matrix,Word Search,https://leetcode.com/problems/word-search/,Medium
String,Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters/,Medium
String,Longest Repeating Character Replacement,https://leetcode.com/problems/longest-repeating-character-replacement/,Medium
String,Minimum Window Substring,https://leetcode.com/problems/minimum-window-substring/,Hard
String,Valid Anagram,https://leetcode.com/problems/valid-anagram/,Easy
String,Group Anagrams,https://leetcode.com/problems/group-anagrams/,Medium
String,Valid Parentheses,https://leetcode.com/problems/valid-parentheses/,Easy
String,Valid Palindrome,https://leetcode.com/problems/valid-palindrome/,Easy
String,Longest Palindromic Substring,https://leetcode.com/problems/longest-palindromic-substring/,Medium
String,Palindromic Substrings,https://leetcode.com/problems/palindromic-substrings/,Medium
String,Encode and Decode Strings (Leetcode Premium),https://leetcode.com/problems/encode-and-decode-strings/,Medium
Tree,Maximum Depth of Binary Tree,https://leetcode.com/problems/maximum-depth-of-binary-tree/,Easy
Tree,Same Tree,https://leetcode.com/problems/same-tree/,Easy
Tree,Invert/Flip Binary Tree,https://leetcode.com/problems/invert-binary-tree/,Easy
Tree,Binary Tree Maximum Path Sum,https://leetcode.com/problems/binary-tree-maximum-path-sum/,Hard
Tree,Binary Tree Level Order Traversal,https://leetcode.com/problems/binary-tree-level-order-traversal/,Medium
Tree,Serialize and Deserialize Binary Tree,https://leetcode.com/problems/serialize-and-deserialize-binary-tree/,Hard
Tree,Subtree of Another Tree,https://leetcode.com/problems/subtree-of-another-tree/,Easy
Tree,Construct Binary Tree from Preorder and Inorder Traversal,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/,Medium
Tree,Validate Binary Search Tree,https://leetcode.com/problems/validate-binary-search-tree/,Medium
Tree,Kth Smallest Element in a BST,https://leetcode.com/problems/kth-smallest-element-in-a-bst/,Medium
Tree,Lowest Common Ancestor of BST,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree/,Medium
Tree,Implement Trie (Prefix Tree),https://leetcode.com/problems/implement-trie-prefix-tree/,Medium
Tree,Add and Search Word,https://leetcode.com/problems/add-and-search-word-data-structure-design/,Medium
Tree,Word Search II,https://leetcode.com/problems/word-search-ii/,Hard
Heap,Merge K Sorted Lists,https://leetcode.com/problems/merge-k-sorted-lists/,Hard
Heap,Top K Frequent Elements,https://leetcode.com/problems/top-k-frequent-elements/,Medium
Heap,Top K Frequent Elements,https://leetcode.com/problems/find-median-from-data-stream/,Hard
